image_id,bit_length,keep_percentage,detected,exp_id,test_num,fpr,inf_steps,method,nowm,prc_t,test_path
0,512,100,1,prc_num_10_steps_50_fpr_1e-05_nowm_0,10,1e-05,50,prc,0,3,crop_100
1,512,100,1,prc_num_10_steps_50_fpr_1e-05_nowm_0,10,1e-05,50,prc,0,3,crop_100
2,512,100,1,prc_num_10_steps_50_fpr_1e-05_nowm_0,10,1e-05,50,prc,0,3,crop_100
3,512,100,1,prc_num_10_steps_50_fpr_1e-05_nowm_0,10,1e-05,50,prc,0,3,crop_100
4,512,100,1,prc_num_10_steps_50_fpr_1e-05_nowm_0,10,1e-05,50,prc,0,3,crop_100
5,512,100,1,prc_num_10_steps_50_fpr_1e-05_nowm_0,10,1e-05,50,prc,0,3,crop_100
6,512,100,1,prc_num_10_steps_50_fpr_1e-05_nowm_0,10,1e-05,50,prc,0,3,crop_100
7,512,100,1,prc_num_10_steps_50_fpr_1e-05_nowm_0,10,1e-05,50,prc,0,3,crop_100
8,512,100,0,prc_num_10_steps_50_fpr_1e-05_nowm_0,10,1e-05,50,prc,0,3,crop_100
9,512,100,1,prc_num_10_steps_50_fpr_1e-05_nowm_0,10,1e-05,50,prc,0,3,crop_100
